Harvested area (rai),Crop Year,Production (ton),Yield per rai (kgs),_id,Vegetable Crops,Planted area (rai)
607,2563,474.0,781,68,ผักชีฝรั่ง,607
9966,2563,25334.0,5782,69,พริกขี้หนู,9966
1401,2563,"2,49",1777,70,พริกหยวก/พริกยักษ์,1401
2368,2563,5456.0,2304,71,หน่อไม้ฝรั่ง,2368
2681,2563,5474.0,2042,72,หอมแดง,2741
2547,2564,3574.0,1403,73,กระเทียมหัว,2658
1544,2564,5447.0,3527,74,กะหล่ำดอก,1899
1221,2564,3690.0,3022,75,ขิง,1221
636,2564,2332.0,3666,76,ซาโยเต้ (ฟักแม้ว),636
1145,2564,3547.0,3098,77,แตงกวา/แตงร้าน,1145
1846,2564,1403.0,760,78,ผักชีฝรั่ง,1961
9286,2564,13437.0,1447,79,พริกขี้หนู,9286
1324,2564,1327.0,1002,80,พริกหยวก/พริกยักษ์,1324
3387,2564,1948.0,575,81,หน่อไม้ฝรั่ง,3387
2798,2564,5643.0,2017,82,หอมแดง,2866
1424,2565,2825.0,1985,83,กระเทียมหัว,1424
1193,2565,3562.0,2986,84,กะหล่ำดอก,1296
625,2565,719.0,1150,85,ซาโยเต้ (ฟักแม้ว),625
1296,2565,4015.0,3098,86,แตงกวา/แตงร้าน,1296
770,2565,423.0,549,87,ผักชีฝรั่ง,903
5213,2565,6047.0,1160,88,พริกขี้หนู,5495
1302,2565,1580.0,1214,89,พริกหยวก/พริกยักษ์,1302
2235,2565,2543.0,1138,90,หน่อไม้ฝรั่ง,2235
1727,2565,4145.0,2401,91,หอมแดง,1726
1127,2566,1783.0,1582,92,กระเทียมหัว,1167
1057,2566,3156.0,2986,93,กะหล่ำดอก,1338
521,2566,1574.0,3022,94,ขิง,521
594,2566,1582.0,2663,95,ซาโยเต้ (ฟักแม้ว),594
1507,2566,4669.0,3098,96,แตงกวา/แตงร้าน,1507
624,2566,525.0,842,97,ผักชีฝรั่ง,783
6819,2566,11967.0,1755,98,พริกขี้หนู,6819
834,2566,988.0,1185,99,พริกหยวก/พริกยักษ์,834
2235,2566,1292.0,578,100,หน่อไม้ฝรั่ง,2235
1109,2566,2217.0,1999,101,หอมแดง,1139
974,2567,3090.0,3173,102,กะหล่ำดอก,1594
1300,2567,3215.0,2473,103,ขิง,1611
1790,2567,1362.0,761,104,ซาโยเต้ (ฟักแม้ว),1875
9171,2567,12594.0,1373,105,พริกขี้หนู,9892
2865,2567,1095.0,382,106,หน่อไม้ฝรั่ง,3361
1579,2567,2489.0,1576,107,หอมแดง,1709
4269,2567,9269.0,2171,108,มะเขือเปราะ,6343
310,2567,553.0,1785,109,ผักกวางตุ้ง,486
2533,2567,9518.0,3757,110,กระหล่ำปลี,3200
2686,2568,6389.1,2378.67,111,กะหล่ำปลี,3566
4994.5,2568,7001.07,1401.76,112,พริกขี้หนูเม็ดใหญ่,5019.5
850,2568,3347.3,3938,113,กะหล่ำดอก,1333
991.75,2568,806.551,813.26,114,หน่อไม้ฝรั่ง,998.75
2615,2568,4742.316,1813.51,115,มะเขือเปราะ,3085
419,2568,667.3,1592.6,116,ผักกวางตุ้ง,650
1209,2568,2703.3360900000002,2236.01,117,หอมแดง,1209
1229,2568,873.2,710.5,118,ซาโยเต้ (ฟักแม้ว),1229
597.5,2568,679.64,1137.47,119,ขิง,1186.5
