ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,49,7,กรุงเทพมหานคร,6,41730,457,2559,ลำผักชี,3-105-85/59,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,1,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,3,10530
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,66,20,กรุงเทพมหานคร,,14,1778,2568,สามวาตะวันตก,3-105-7/68,บริษัท ส. สมหมาย ค้าเหล็ก จำกัด,2,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดกระบัง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ประชาอุทิศ,,10100000000000,6.425,20,กรุงเทพมหานคร,,"โฉนดที่ดินเลขที่ 36091,38644,44279",246,2566,ขุมทอง,3-105-33/66,บริษัท บุญเลี้ยงพลาสติก รีไซเคิล จำกัด,3,บริษัท บุญเลี้ยงพลาสติก รีไซเคิล จำกัด,3,10520
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,บางกระดี่ 19,10100000000000,37.5,30,กรุงเทพมหานคร,,89,435,2560,แสมดำ,3-105-60/60,นายการัณย์ อัครกุลพรรณ,4,นายการัณย์ อัครกุลพรรณ,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ฉลองกรุง,,10100000000000,240,103,กรุงเทพมหานคร,9,92/78-79,3088,2559,ลำผักชี,3-105-51/59,บริษัท มหานคร เมททอลสแครป จำกัด,5,บริษัท มหานคร เมททอลสแครป จำกัด,3,10530
บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,พระรามที่ 2,,10100000000000,1,12,กรุงเทพมหานคร,4,99/231,90,2560,แสมดำ,3-106-62/60,บริษัท ผลพาณิชย์ จำกัด,6,บริษัท ผลพาณิชย์ จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองแขม,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เพชรเกษม,เพชรเกษม114,10100000000000,13,14,กรุงเทพมหานคร,,46168,766.34,2559,หนองค้างพลู,3-105-52/59,นางวรรณา กนกทิพย์วรรณ,7,-,3,10160
นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,บางบอน,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,บางบอน 4,6,10100000000000,80,10,กรุงเทพมหานคร,,74,769.5,2560,บางบอน,3-106-34/60,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,8,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,2.3,6,กรุงเทพมหานคร,5,46087,138,2562,โคกแฝด,3-105-3/62,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,9,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,3,10530
ผลิตเชื้อเพลิงแข็ง (SRF) จากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ปอกเศษสายไฟที่ไม่เป็นของเสียอันตราย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดกระบัง,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,-,-,10100000000000,50,50,กรุงเทพมหานคร,-,"โฉนดที่ดินเลขที่ 24595,24596,24597",1990,2568,คลองสามประเวศ,3-106-4/68,บริษัท ทองร่มเกล้า รีไซเคิล จำกัด,10,บริษัท ทองร่มเกล้า รีไซเคิล จำกัด,3,10520
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ประชาร่วมใจ,ประชาร่วมใจ 59,10100000000000,137.7,40,กรุงเทพมหานคร,,19,5368,2560,ทรายกองดินใต้,3-105-84/60,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,11,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,ประเวศ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,อ่อนนุช,อ่อนนุช 80,10100000000000,7,7,กรุงเทพมหานคร,,"25,27",119,2559,ประเวศ,3-105-88/59,บริษัท คูเซ่งฮวด จำกัด,12,บริษัท คูเซ่งฮวด จำกัด,3,10250
