ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,,-, 13.20 ,3-105-119/48,10100211925488,1, 130.00 ,10500,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คลองตัน,48,แสนสบาย,คลองเตย,51,กรุงเทพมหานคร,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,3, 20 ,10110
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,วัดสุขใจ, 35.00 ,3-105-79/65,10100156825651,2," 1,188.00 ",10500,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,ทรายกองดิน,65,,คลองสามวา,"โฉนดที่ดินเลขที่ 103186,103187,103188,103193,103194",กรุงเทพมหานคร,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,3, 20 ,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,ประชาร่วมใจ, 137.70 ,3-105-84/60,10100008425601,3," 5,368.00 ",10500,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,ทรายกองดินใต้,60,ประชาร่วมใจ 59,คลองสามวา,19,กรุงเทพมหานคร,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,3, 40 ,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 66.00 ,3-105-7/68,10100009125689,4," 1,778.00 ",10500,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,สามวาตะวันตก,68,,คลองสามวา,14,กรุงเทพมหานคร,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,3, 20 ,10510
ผลิตเชื้อเพลิงแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (SRF) ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย,,วัดสุขใจ, 35.00 ,3-106-53/67,10100159725676,5, 360.00 ,10600,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,ทรายกองดิน,67,,คลองสามวา,"โฉนดที่ดินเลขที่ 103186,103189,103190,103191,103192",กรุงเทพมหานคร,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,3, 20 ,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,รัชดาภิเษก, 1.50 ,3-105-46/66,10100119325666,6, 460.00 ,10500,นายธนากฤต ยิ่งรัตนเดช,จันทรเกษม,66,เสือใหญ่อุทิศ,จตุจักร,20/224,กรุงเทพมหานคร,นายธนากฤต ยิ่งรัตนเดช,3, 4 ,10900
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,รัชดาภิเษก, 12.90 ,3-105-48/59,10100004825598,7, 228.50 ,10500,ธวัช รีไซเคิล,จันทรเกษม,59,เสือใหญ่อุทิศ,จตุจักร,743/7,กรุงเทพมหานคร,ธวัช รีไซเคิล,3, 10 ,10900
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,เอกชัย, 185.00 ,3-105-57/61,10100105725614,8, 745.00 ,10500,บริษัท ตั้งซุ่ยเฮง จำกัด,บางขุนเทียน,61,กำนันแม้น,จอมทอง,88/164,กรุงเทพมหานคร,บริษัท ตั้งซุ่ยเฮง จำกัด,3, 29 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,เอกชัย, 5.00 ,3-105-22/59,10100102225592,9, 585.00 ,10500,บริษัท กวงเซ่งหลี จำกัด,บางขุนเทียน,59,กำนันแม้น,จอมทอง,88/71-72,กรุงเทพมหานคร,บริษัท กวงเซ่งหลี จำกัด,3, 14 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,11,, 20.00 ,3-105-8/62,10100032525624,10, 264.00 ,10500,-,บางขุนเทียน,62,,จอมทอง,114/3,กรุงเทพมหานคร,นายสิทธิชัย เอื้อโภศิณธ์,3, 50 ,10150
