ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,811437,607468,0,1418905
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1879,275,0,2154
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,725768,456266,0,1182034
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,1,0,1
รถยนต์,รถยนต์ส่วนบุคคล,7006854,4822399,15,11829268
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4674,218,0,4892
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3579893,2773274,6,6353173
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074412,1562939,1890,5639241
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111632,1330327,358,5442317
รถยนต์,รถยนต์สาธารณะ,93105,10267,0,103372
รถยนต์,รถยนต์สามล้อสาธารณะ,5590,254,0,5844
รถยนต์,รถจักรยานยนต์สาธารณะ,121288,9417,0,130705
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,91309,60987,0,152296
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,42399,36227,0,78626
รถยนต์,รถบดถนน,344,9,0,353
รถยนต์,รถแทรกเตอร์,5944,40,0,5984
รถยนต์,รถใช้งานเกษตรกรรม,5654,142,0,5796
รถยนต์,รถอื่นๆ,1645,195,0,1840
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1719,262,0,1981
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,553134,12262,0,565396
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,112868,1259,0,114127
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10556,121,0,10677
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13365,3036,0,16401
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,711377,21651,0,733028
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,250475,6262,0,256737
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,133495,1549,0,135044
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2110,8584,0,10694
การขนส่งทางบก,นายตรวจ,147,186,0,333
การขนส่งทางบก,ผู้บริการ,720,956,0,1676
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9762,8513,0,18275
