ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,822939,663605,0,1486544
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1106,103,0,1209
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,567047,351991,0,919038
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6810600,4514434,32,11325066
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5441,252,0,5693
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3540472,2760659,14,6301145
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073948,1562589,1902,5638439
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111225,1330088,359,5441672
รถยนต์,รถยนต์สาธารณะ,88096,7680,0,95776
รถยนต์,รถยนต์สามล้อสาธารณะ,5653,225,0,5878
รถยนต์,รถจักรยานยนต์สาธารณะ,119320,9114,0,128434
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,61334,42943,2,104279
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,30117,26878,0,56995
รถยนต์,รถบดถนน,292,9,0,301
รถยนต์,รถแทรกเตอร์,6038,36,0,6074
รถยนต์,รถใช้งานเกษตรกรรม,6411,145,0,6556
รถยนต์,รถอื่นๆ,807,113,0,920
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1616,239,0,1855
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,536274,11542,0,547816
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,108741,1121,0,109862
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9638,116,0,9754
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,14723,2859,0,17582
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,715394,19626,0,735020
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,246814,5452,0,252266
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,131155,1360,0,132515
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2021,8054,0,10075
การขนส่งทางบก,นายตรวจ,158,194,0,352
การขนส่งทางบก,ผู้บริการ,525,767,0,1292
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
