ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,782853,635991,0,1418844
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,965,82,0,1047
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,533177,330564,0,863741
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6811166,4499738,33,11310937
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5548,260,0,5808
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3549098,2773098,15,6322211
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073881,1562537,1903,5638321
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111171,1330059,359,5441589
รถยนต์,รถยนต์สาธารณะ,88098,7389,0,95487
รถยนต์,รถยนต์สามล้อสาธารณะ,5719,225,0,5944
รถยนต์,รถจักรยานยนต์สาธารณะ,118319,9100,0,127419
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,56445,39889,1,96335
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,27737,24725,0,52462
รถยนต์,รถบดถนน,293,9,0,302
รถยนต์,รถแทรกเตอร์,6072,36,0,6108
รถยนต์,รถใช้งานเกษตรกรรม,6641,155,0,6796
รถยนต์,รถอื่นๆ,763,112,0,875
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1600,237,0,1837
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,537226,11500,0,548726
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,108672,1100,0,109772
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9546,108,0,9654
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,15105,2816,0,17921
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,721175,19612,0,740787
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,247168,5358,0,252526
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,131555,1329,0,132884
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2071,8177,0,10248
การขนส่งทางบก,นายตรวจ,156,198,0,354
การขนส่งทางบก,ผู้บริการ,530,719,0,1249
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9765,8510,0,18275
