ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,716359,587440,0,1303799
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,726,59,0,785
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,464882,275079,0,739961
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6796752,4446706,36,11243494
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5716,273,0,5989
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3546816,2773920,17,6320753
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073777,1562426,1903,5638106
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111050,1330040,359,5441449
รถยนต์,รถยนต์สาธารณะ,87157,6724,0,93881
รถยนต์,รถยนต์สามล้อสาธารณะ,5814,219,0,6033
รถยนต์,รถจักรยานยนต์สาธารณะ,117779,9023,0,126802
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,48497,34897,1,83395
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,22241,20106,0,42347
รถยนต์,รถบดถนน,287,9,0,296
รถยนต์,รถแทรกเตอร์,6221,36,0,6257
รถยนต์,รถใช้งานเกษตรกรรม,6787,159,0,6946
รถยนต์,รถอื่นๆ,317,42,0,359
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1554,231,0,1785
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,530783,11272,0,542055
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,107179,1064,0,108243
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9341,105,0,9446
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,14615,2661,0,17276
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,705068,18636,0,723704
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,241743,5065,0,246808
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,129525,1291,0,130816
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1963,7982,0,9945
การขนส่งทางบก,นายตรวจ,150,202,0,352
การขนส่งทางบก,ผู้บริการ,507,724,0,1231
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
