ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,674920,580529,0,1255449
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,394,31,0,425
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,455449,278256,0,733705
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6716130,4344191,37,11060358
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5955,281,0,6236
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3536110,2781847,18,6317975
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073606,1562326,1905,5637837
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3498,357,0,3855
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4110936,1329971,359,5441266
รถยนต์,รถยนต์สาธารณะ,86382,6000,0,92382
รถยนต์,รถยนต์สามล้อสาธารณะ,6154,215,0,6369
รถยนต์,รถจักรยานยนต์สาธารณะ,120610,9205,0,129815
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,25831,22247,1,48079
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,16920,15515,0,32435
รถยนต์,รถบดถนน,284,9,0,293
รถยนต์,รถแทรกเตอร์,6211,37,0,6248
รถยนต์,รถใช้งานเกษตรกรรม,7140,170,0,7310
รถยนต์,รถอื่นๆ,31,11,0,42
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1559,217,0,1776
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,522359,10876,0,533235
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,104926,1025,0,105951
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,8999,98,0,9097
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13935,2491,0,16426
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,690967,17739,0,708706
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,235933,4748,0,240681
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,126931,1215,0,128146
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1963,7897,0,9860
การขนส่งทางบก,นายตรวจ,142,195,0,337
การขนส่งทางบก,ผู้บริการ,644,834,0,1478
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9765,8510,0,18275
