ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,809245,657675,0,1466920
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1029,96,0,1125
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,553810,342996,0,896806
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6807007,4504132,33,11311172
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5493,255,0,5748
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3543224,2765646,15,6308885
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073905,1562557,1902,5638364
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111195,1330064,359,5441618
รถยนต์,รถยนต์สาธารณะ,88012,7547,0,95559
รถยนต์,รถยนต์สามล้อสาธารณะ,5693,223,0,5916
รถยนต์,รถจักรยานยนต์สาธารณะ,118626,9095,0,127721
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,58113,40959,2,99074
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,28902,25814,0,54716
รถยนต์,รถบดถนน,292,9,0,301
รถยนต์,รถแทรกเตอร์,6031,36,0,6067
รถยนต์,รถใช้งานเกษตรกรรม,6485,146,0,6631
รถยนต์,รถอื่นๆ,796,113,0,909
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1602,232,0,1834
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,536218,11495,0,547713
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,108524,1113,0,109637
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9609,111,0,9720
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,14959,2835,0,17794
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,717115,19579,0,736694
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,246671,5412,0,252083
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,131237,1342,0,132579
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2037,8082,0,10119
การขนส่งทางบก,นายตรวจ,159,192,0,351
การขนส่งทางบก,ผู้บริการ,519,744,0,1263
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9765,8510,0,18275
