ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,786823,583478,0,1370301
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1751,258,0,2009
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,848520,514193,0,1362713
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,1,0,1
รถยนต์,รถยนต์ส่วนบุคคล,7241931,5089743,1,12331675
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4642,247,0,4889
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3732779,2878314,0,6611093
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074712,1563205,1886,5639803
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,358,0,3855
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111941,1330484,356,5442781
รถยนต์,รถยนต์สาธารณะ,115934,17632,0,133566
รถยนต์,รถยนต์สามล้อสาธารณะ,5758,321,0,6079
รถยนต์,รถจักรยานยนต์สาธารณะ,147985,11260,0,159245
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,108529,72492,0,181021
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,48339,38238,0,86577
รถยนต์,รถบดถนน,317,10,0,327
รถยนต์,รถแทรกเตอร์,5868,44,0,5912
รถยนต์,รถใช้งานเกษตรกรรม,4922,114,0,5036
รถยนต์,รถอื่นๆ,1077,122,0,1199
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1470,223,0,1693
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,459670,10639,0,470309
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,93227,1094,0,94321
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,8604,93,0,8697
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,12418,3142,0,15560
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,749619,24515,0,774134
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,262193,7335,0,269528
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,134431,1719,0,136150
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2299,8657,0,10956
การขนส่งทางบก,นายตรวจ,130,155,0,285
การขนส่งทางบก,ผู้บริการ,807,1132,0,1939
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9761,8513,0,18274
