ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,822175,637493,0,1459668
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1481,188,0,1669
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,622209,392710,0,1014919
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6866946,4617746,24,11484716
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5182,240,0,5422
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3535524,2749222,10,6284756
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074133,1562725,1899,5638757
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111368,1330161,359,5441888
รถยนต์,รถยนต์สาธารณะ,88828,8702,0,97530
รถยนต์,รถยนต์สามล้อสาธารณะ,5568,240,0,5808
รถยนต์,รถจักรยานยนต์สาธารณะ,120025,9211,0,129236
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,74671,50719,1,125391
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,35029,30879,0,65908
รถยนต์,รถบดถนน,332,9,0,341
รถยนต์,รถแทรกเตอร์,5953,40,0,5993
รถยนต์,รถใช้งานเกษตรกรรม,6130,147,0,6277
รถยนต์,รถอื่นๆ,1137,136,0,1273
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1678,255,0,1933
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,543174,11829,0,555003
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,110630,1143,0,111773
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9933,120,0,10053
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13343,2873,0,16216
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,713681,20394,0,734075
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,248803,5770,0,254573
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,132076,1426,0,133502
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1906,7908,0,9814
การขนส่งทางบก,นายตรวจ,158,195,0,353
การขนส่งทางบก,ผู้บริการ,561,786,0,1347
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
