ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,792743,587584,0,1380327
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1721,253,0,1974
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,823359,506192,0,1329551
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,1,0,1
รถยนต์,รถยนต์ส่วนบุคคล,7225980,5067685,2,12293667
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4645,246,0,4891
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3717069,2872614,0,6589683
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074666,1563158,1887,5639711
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,358,0,3855
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111897,1330458,357,5442712
รถยนต์,รถยนต์สาธารณะ,114414,16761,0,131175
รถยนต์,รถยนต์สามล้อสาธารณะ,5753,311,0,6064
รถยนต์,รถจักรยานยนต์สาธารณะ,148297,11208,0,159505
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,104893,70443,0,175336
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,47146,38035,0,85181
รถยนต์,รถบดถนน,325,9,0,334
รถยนต์,รถแทรกเตอร์,5923,45,0,5968
รถยนต์,รถใช้งานเกษตรกรรม,5148,118,0,5266
รถยนต์,รถอื่นๆ,1055,122,0,1177
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1518,231,0,1749
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,477108,10949,0,488057
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,96420,1111,0,97531
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,8950,95,0,9045
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,12550,3111,0,15661
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,736424,23948,0,760372
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,258989,6932,0,265921
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,134083,1656,0,135739
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2355,8722,0,11077
การขนส่งทางบก,นายตรวจ,121,153,0,274
การขนส่งทางบก,ผู้บริการ,787,1094,0,1881
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9761,8513,0,18274
