ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,826945,636546,0,1463491
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1524,197,0,1721
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,637005,402435,0,1039440
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6883778,4643207,23,11527008
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5114,231,0,5345
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3540027,2754457,10,6294494
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074160,1562741,1899,5638800
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111394,1330183,359,5441936
รถยนต์,รถยนต์สาธารณะ,89002,8827,0,97829
รถยนต์,รถยนต์สามล้อสาธารณะ,5555,240,0,5795
รถยนต์,รถจักรยานยนต์สาธารณะ,119865,9193,0,129058
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,77284,52287,1,129572
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,36344,32024,0,68368
รถยนต์,รถบดถนน,326,9,0,335
รถยนต์,รถแทรกเตอร์,5945,40,0,5985
รถยนต์,รถใช้งานเกษตรกรรม,6098,146,0,6244
รถยนต์,รถอื่นๆ,1276,160,0,1436
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1688,257,0,1945
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,545923,11927,0,557850
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,111075,1153,0,112228
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10012,119,0,10131
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13432,2904,0,16336
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,714723,20577,0,735300
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,249722,5814,0,255536
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,132461,1443,0,133904
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1938,8000,0,9938
การขนส่งทางบก,นายตรวจ,156,195,0,351
การขนส่งทางบก,ผู้บริการ,569,790,0,1359
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
