ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,825936,649059,0,1474995
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1382,161,0,1543
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,602059,375181,0,977240
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6844542,4584291,27,11428860
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5251,243,0,5494
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3532323,2749454,13,6281790
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074083,1562662,1899,5638644
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111323,1330134,359,5441816
รถยนต์,รถยนต์สาธารณะ,87951,8347,0,96298
รถยนต์,รถยนต์สามล้อสาธารณะ,5526,230,0,5756
รถยนต์,รถจักรยานยนต์สาธารณะ,119731,9213,0,128944
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,70588,48277,1,118866
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,32894,29208,0,62102
รถยนต์,รถบดถนน,292,9,0,301
รถยนต์,รถแทรกเตอร์,5933,36,0,5969
รถยนต์,รถใช้งานเกษตรกรรม,6209,145,0,6354
รถยนต์,รถอื่นๆ,954,117,0,1071
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1668,251,0,1919
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,542489,11772,0,554261
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,110559,1156,0,111715
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9872,118,0,9990
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13497,2875,0,16372
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,715066,20181,0,735247
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,248724,5684,0,254408
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,132117,1409,0,133526
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1943,8040,0,9983
การขนส่งทางบก,นายตรวจ,160,191,0,351
การขนส่งทางบก,ผู้บริการ,553,817,0,1370
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
