ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,817635,618897,0,1436532
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1836,253,0,2089
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,682749,433536,0,1116285
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6945364,4740698,15,11686077
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4902,227,0,5129
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3556862,2765127,6,6321995
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074286,1562869,1894,5639049
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111510,1330276,359,5442145
รถยนต์,รถยนต์สาธารณะ,91304,9677,0,100981
รถยนต์,รถยนต์สามล้อสาธารณะ,5600,255,0,5855
รถยนต์,รถจักรยานยนต์สาธารณะ,120175,9280,0,129455
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,80906,54608,0,135514
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,40424,35490,0,75914
รถยนต์,รถบดถนน,349,10,0,359
รถยนต์,รถแทรกเตอร์,5976,40,0,6016
รถยนต์,รถใช้งานเกษตรกรรม,5901,146,0,6047
รถยนต์,รถอื่นๆ,1371,173,0,1544
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1730,265,0,1995
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,556783,12295,0,569078
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,112930,1212,0,114142
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10308,123,0,10431
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13762,3034,0,16796
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,727330,21578,0,748908
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,254491,6136,0,260627
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,134450,1506,0,135956
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2181,8604,0,10785
การขนส่งทางบก,นายตรวจ,162,194,0,356
การขนส่งทางบก,ผู้บริการ,625,852,0,1477
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9763,8512,0,18275
