ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,831282,661960,0,1493242
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1241,116,0,1357
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,592751,369748,0,962499
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6830746,4548616,29,11379391
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5377,251,0,5628
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3540970,2757813,14,6298797
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074026,1562634,1900,5638560
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111277,1330108,359,5441744
รถยนต์,รถยนต์สาธารณะ,88511,8061,0,96572
รถยนต์,รถยนต์สามล้อสาธารณะ,5635,229,0,5864
รถยนต์,รถจักรยานยนต์สาธารณะ,120316,9233,0,129549
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,66791,46233,1,113025
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,31611,28165,0,59776
รถยนต์,รถบดถนน,293,9,0,302
รถยนต์,รถแทรกเตอร์,6014,35,0,6049
รถยนต์,รถใช้งานเกษตรกรรม,6336,144,0,6480
รถยนต์,รถอื่นๆ,896,116,0,1012
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1631,248,0,1879
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,537875,11596,0,549471
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,109280,1140,0,110420
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9741,116,0,9857
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13925,2885,0,16810
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,714872,19904,0,734776
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,247861,5591,0,253452
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,131692,1382,0,133074
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1954,7968,0,9922
การขนส่งทางบก,นายตรวจ,160,192,0,352
การขนส่งทางบก,ผู้บริการ,537,786,0,1323
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
