ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,805816,602243,0,1408059
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1839,276,0,2115
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,741134,468796,0,1209930
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,1,0,1
รถยนต์,รถยนต์ส่วนบุคคล,7021548,4839695,12,11861255
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4666,215,0,4881
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3586611,2776391,5,6363007
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074430,1562953,1890,5639273
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111667,1330340,358,5442365
รถยนต์,รถยนต์สาธารณะ,95078,10722,0,105800
รถยนต์,รถยนต์สามล้อสาธารณะ,5591,252,0,5843
รถยนต์,รถจักรยานยนต์สาธารณะ,124259,9576,0,133835
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,93260,62128,0,155388
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,42891,36528,0,79419
รถยนต์,รถบดถนน,339,8,0,347
รถยนต์,รถแทรกเตอร์,5902,41,0,5943
รถยนต์,รถใช้งานเกษตรกรรม,5619,141,0,5760
รถยนต์,รถอื่นๆ,1618,197,0,1815
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1706,259,0,1965
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,551644,12275,0,563919
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,112815,1256,0,114071
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10607,120,0,10727
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13256,3048,0,16304
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,708248,21795,0,730043
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,249716,6296,0,256012
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,133184,1556,0,134740
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2160,8634,0,10794
การขนส่งทางบก,นายตรวจ,145,185,0,330
การขนส่งทางบก,ผู้บริการ,730,968,0,1698
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9762,8513,0,18275
