ปี,เดือน,ประเภท,จำนวนเรื่องร้องเรียน,อยู่ระหว่างดำเนินการ,ดำเนินการแล้วเสร็จ
2567,ต.ค.,ทุจริต,0,0,0
2567,ต.ค.,ประพฤติมิชอบ,0,0,0
2567,พ.ย.,ทุจริต,0,0,0
2567,พ.ย.,ประพฤติมิชอบ,0,0,0
2567,ธ.ค.,ทุจริต,0,0,0
2567,ธ.ค.,ประพฤติมิชอบ,0,0,0
2568,ม.ค.,ทุจริต,0,0,0
2568,ม.ค.,ประพฤติมิชอบ,0,0,0
2568,ก.พ.,ทุจริต,0,0,0
2568,ก.พ.,ประพฤติมิชอบ,0,0,0
2568,มี.ค.,ทุจริต,0,0,0
2568,มี.ค.,ประพฤติมิชอบ,0,0,0
2568,เม.ย.,ทุจริต,0,0,0
2568,เม.ย.,ประพฤติมิชอบ,0,0,0
2568,พ.ค.,ทุจริต,1,1,0
2568,พ.ค.,ประพฤติมิชอบ,0,0,0
2568,มิ.ย.,ทุจริต,0,0,0
2568,มิ.ย.,ประพฤติมิชอบ,0,0,0
2568,ก.ค.,ทุจริต,0,0,0
2568,ก.ค.,ประพฤติมิชอบ,0,0,0
2568,ส.ค.,ทุจริต,0,0,0
2568,ส.ค.,ประพฤติมิชอบ,0,0,0
2568,ก.ย.,ทุจริต,1,1,0
2568,ก.ย.,ประพฤติมิชอบ,0,0,0
